,index,cluster,silhouette,name
198,463,1,0.3222844588584589,"['obsolete impaired renal function disease', 'human immunodeficiency virus infectious disease', 'immune system disease']"
199,325,1,0.32187993510707863,['epilepsy']
200,356,1,0.32083509992110754,"['alcohol use disorder', 'acute kidney failure', 'respiratory syncytial virus infectious disease']"
201,219,1,0.3201631292575968,"['brain disease', 'obsolete impaired renal function disease', 'immune system disease', 'respiratory syncytial virus infectious disease']"
202,187,1,0.3197695504851604,"['respiratory syncytial virus infectious disease', 'benign neoplasm']"
203,90,1,0.3190354711764851,"['acute myocardial infarction', 'respiratory syncytial virus infectious disease']"
204,44,1,0.31871317033403473,"['breast cancer', 'respiratory syncytial virus infectious disease']"
205,52,1,0.3187131703340346,"['respiratory syncytial virus infectious disease', 'congestive heart failure']"
206,251,1,0.3187131703340346,"['abdominal aortic aneurysm', 'respiratory syncytial virus infectious disease']"
207,379,1,0.3187131703340345,"['diabetes mellitus', 'chronic venous insufficiency', 'respiratory syncytial virus infectious disease', 'dilated cardiomyopathy']"
208,66,1,0.3178046614427202,['chronic obstructive pulmonary disease']
209,99,1,0.31662279176419633,"['diabetes mellitus', 'coronary artery disease', 'respiratory syncytial virus infectious disease']"
210,296,1,0.31643499413257586,"['liver disease', 'human immunodeficiency virus infectious disease', 'hypertension', 'immune system disease', 'obesity', 'respiratory syncytial virus infectious disease', 'hypothyroidism', 'asthma']"
211,393,1,0.3161650861864182,"['respiratory syncytial virus infectious disease', 'pancreatic cancer']"
212,87,1,0.31353557273437993,"['alcohol use disorder', 'nicotine dependence']"
213,259,1,0.30788815094800515,"['diabetes mellitus', 'hypertension', 'asthma']"
214,377,1,0.3004360319105733,"['diabetes mellitus', 'thalassemia']"
215,127,1,0.2953590721302189,"['diabetes mellitus', 'liver disease', 'immune system disease']"
216,266,1,0.28927637364669523,"['diabetes mellitus', 'immune system disease', 'obesity', 'respiratory syncytial virus infectious disease']"
217,119,1,0.2885908873324395,"['pulmonary emphysema', 'respiratory syncytial virus infectious disease']"
218,198,1,0.28785610034124526,"['neurodegenerative disease', 'respiratory syncytial virus infectious disease']"
219,11,1,0.2851846098923062,"['diabetes mellitus', 'hypertension', 'respiratory syncytial virus infectious disease']"
220,170,1,0.2840214425159721,"['diabetes mellitus', 'respiratory syncytial virus infectious disease', 'congestive heart failure', 'asthma']"
221,257,1,0.2838363549224597,"['brain angioma', 'breast cancer']"
222,183,1,0.2836787846502667,"['diabetes mellitus', 'obsolete impaired renal function disease', 'hypertension', 'obesity']"
223,156,1,0.28158575305545297,"['diabetes mellitus', 'psoriasis', 'respiratory syncytial virus infectious disease']"
224,409,1,0.28087392390112986,"['brain disease', 'cerebrovascular disease', 'hypertension', 'respiratory syncytial virus infectious disease']"
225,432,1,0.28034131791265593,"['non-Hodgkin lymphoma', 'respiratory syncytial virus infectious disease']"
226,361,1,0.2803413179126558,"['bronchitis', 'lung disease', 'respiratory syncytial virus infectious disease']"
227,304,1,0.2802098455067951,"['diabetes mellitus', 'fatty liver disease', 'obesity', 'respiratory syncytial virus infectious disease']"
228,279,1,0.27991720471886616,"['breast cancer', 'respiratory syncytial virus infectious disease', 'cancer']"
229,281,1,0.2785248115146586,"['lung disease', 'respiratory system disease']"
230,348,1,0.27754163314353886,"['diabetes mellitus', 'obsolete impaired renal function disease', 'hematopoietic system disease', 'respiratory syncytial virus infectious disease']"
231,417,1,0.27754163314353886,"['diabetes mellitus', 'hepatic encephalopathy', 'liver disease', 'dementia', 'respiratory syncytial virus infectious disease']"
232,372,1,0.27666119330933947,"['lung disease', 'obesity']"
233,204,1,0.27344287181429106,"['pneumonia', 'respiratory syncytial virus infectious disease']"
234,18,1,0.27303553041927897,"['respiratory syncytial virus infectious disease', 'asthma']"
235,453,1,0.27293646426236895,"['diabetes mellitus', 'prostatic adenoma', 'respiratory syncytial virus infectious disease']"
236,340,1,0.272498331233953,"['respiratory syncytial virus infectious disease', 'cancer']"
237,231,1,0.27241175144933305,"['Guillain-Barre syndrome', 'respiratory syncytial virus infectious disease']"
238,375,1,0.27241175144933305,"['psoriasis', 'skin cancer', 'immune system disease']"
239,402,1,0.2709206079409756,['hydrocephalus']
240,97,1,0.2707733874868481,"['diabetes mellitus', 'brain disease', 'obesity', 'respiratory syncytial virus infectious disease']"
241,437,1,0.2701068671793656,"['lung disease', 'hypertension', 'respiratory syncytial virus infectious disease', 'asthma']"
242,353,1,0.2698102727298454,"['neurogenic bladder', 'respiratory syncytial virus infectious disease', 'diverticulitis']"
243,288,1,0.2695493101505231,"['diabetes mellitus', 'colon cancer', 'respiratory syncytial virus infectious disease', 'hypothyroidism']"
244,368,1,0.26770374345102965,"['brain disease', 'rheumatoid arthritis', 'non-Hodgkin lymphoma', 'respiratory syncytial virus infectious disease']"
245,164,1,0.2669069373329312,"['prostate cancer', 'respiratory syncytial virus infectious disease', 'bone cancer']"
